online-alpha.vtb.ru
psi.sbbolmobiletest.sberbank.ru
ib2.psbank.ru
corporate.psbank.ru
3ds.payment.ru  
business.psbank.ru
mydss.psbank.ru
push-ismg.psbank.ru
lk-ecomm.psbank.ru
openapi.psbank.ru
*.psbank.ru
*.payment.ru
iftmobile.testsbi.sberbank.ru
bf2.testsbi.sberbank.ru
ift2.testsbi.sberbank.ru
iftfintech.testsbi.sberbank.ru
ift2upg.testsbi.sberbank.ru
ift2demo.testsbi.sberbank.ru
sbi.sbbolmobiletest.sberbank.ru
psi.sbbolmobiletest.sberbank.ru
bfedupir.testsbi.sberbank.ru
edupir.testsbi.sberbank.ru
edupirsms.testsbi.sberbank.ru
edupirupg2.testsbi.sberbank.ru
edupirfintech.sberbank.ru
psisbbauto.sberbank.ru
gpbspace.ru
www.gpbspace.ru
*.online.vtb.ru
mob.vtb.ru
mob.vtb24.ru
mobile.vtb24.ru
online.vtb.ru
online.vtb24.ru
Online-alpha.vtb.ru
online-beta.vtb.ru
online-beta.vtb24.ru
Online-beta2.vtb.ru
online-old.vtb.ru
online-old.vtb24.ru
Online-pro.vtb.ru
www.online.vtb.ru
www.online.vtb24.ru
vtb.ru
*.vtb.ru
cbr.ru
*.cbr.ru
центральный-банк.рф (xn----7sbbdrzkdqce2az7c0eo.xn--p1ai)
